date,data_src,genus,species,length_m,mass_g,depth_num,depth_zone,commercial
1846,fbs,Ablennes,hians,140,4800,1.5,reef-associated,1
1895,fbs,Aboma,etheostoma,3.400000095,NA,NA,demersal,NA
1825,fbs,Abudefduf,abdominalis,30,NA,25.5,reef-associated,NA
1787,fbs,Abudefduf,bengalensis,17,NA,3.5,reef-associated,1
1862,fbs,Abudefduf,concolor,19,NA,6,reef-associated,NA
1999,fbs,Abudefduf,conformis,13.10000038,NA,6,reef-associated,NA
1862,fbs,Abudefduf,declivifrons,18,NA,3,reef-associated,NA
1881,fbs,Abudefduf,hoefleri,20,NA,NA,reef-associated,NA
1977,fbs,Abudefduf,lorenzi,18,NA,3.5,reef-associated,NA
1830,fbs,Abudefduf,margariteus,16,NA,5,reef-associated,NA
1983,fbs,Abudefduf,natalensis,17,NA,13,reef-associated,0
2018,fbs,Abudefduf,nigrimargo,9.18999958,NA,NA,reef-associated,NA
2004,fbs,Abalistes,filamentosus,32.5,1375,120.5,pelagic-neritic,NA
1801,fbs,Abalistes,stellaris,60,NA,70,demersal,1
1798,fbs,Abalistes,stellatus,60,NA,178.5,reef-associated,NA
1855,fbs,Ablabys,binotatus,15,NA,NA,benthopelagic,NA
2018,fbs,Ablabys,gymnothorax,8.279999733,NA,NA,benthopelagic,NA
1852,fbs,Ablabys,macracanthus,20,NA,10.5,benthopelagic,NA
2018,fbs,Ablabys,pauciporus,5.239999771,NA,54.5,benthopelagic,NA
1829,fbs,Ablabys,taenianotus,15,NA,39.5,benthopelagic,NA
1870,fbs,Abudefduf,notatus,17,NA,6.5,reef-associated,0
1758,fbs,Abudefduf,saxatilis,22.89999962,200,10,reef-associated,1
1830,fbs,Abudefduf,septemfasciatus,23,NA,1.5,reef-associated,1
1801,fbs,Abudefduf,sexfasciatus,19,NA,10.5,reef-associated,1
1775,fbs,Abudefduf,sordidus,24,NA,1.5,reef-associated,1
1825,fbs,Abudefduf,sparoides,16,NA,3,reef-associated,0
1848,fbs,Abudefduf,taurus,25,NA,3,reef-associated,1
1862,fbs,Abudefduf,troschelii,20,NA,6.5,reef-associated,NA
1825,fbs,Abudefduf,vaigiensis,20,NA,8,reef-associated,0
1974,fbs,Abudefduf,whitleyi,14,NA,3,reef-associated,NA
