date,data_src,class,order,family,genus_species,length_m,mature_age,longevity,lat_range,long_range,trophic_level
2013-02-01,fph,Actinopterygii,Perciformes,Chaetodontidae,Prognathodes marcellae,0.11599999999999999,0.7,1.8,25.46667,30,NA
2013-02-01,fph,Actinopterygii,Perciformes,Labridae,Coris julis,0.3,6.7,26.4,56.9456,53,3.2
2013-02-01,fph,Actinopterygii,Pleuronectiformes,Soleidae,Microchirus wittei,0.25,1.9,7.1,25.35,30,NA
2013-02-01,fph,Actinopterygii,Pleuronectiformes,Soleidae,Monochirus hispidus,0.2,2.2,7.4,55.89997,45,3.2
2013-02-01,fph,Actinopterygii,Pleuronectiformes,Bothidae,Arnoglossus laterna,0.25,5.7,20,29.9767,103,3.6
2013-02-01,fph,Actinopterygii,Gadiformes,Lotidae,Gaidropsarus mediterraneus,0.5,1.3,4.7,18.1834,39,3.4
2013-02-01,fph,Actinopterygii,Perciformes,Blenniidae,Aidablennius sphynx,0.08,1.2,3.3,5.3833,12,2.5
2013-02-01,fph,Actinopterygii,Perciformes,Blenniidae,Salaria pavo,0.13,1.7,5.6,15.2833,34,2.9
2013-02-01,fph,Actinopterygii,Perciformes,Carangidae,Trachurus mediterraneus,0.6,3.1,12.6,17.2167,37,3.6
2013-02-01,fph,Actinopterygii,Perciformes,Gobiidae,Zosterisessor ophiocephalus,0.25,4.4,16.7,12.0667,33,3.1
2013-02-01,fph,Actinopterygii,Perciformes,Gobiidae,Gobius cobitis,0.27,3.5,13,13.9333,18,3
2013-02-01,fph,Actinopterygii,Perciformes,Gobiidae,Mesogobius batrachocephalus,0.345,2.1,7.9,2.2,8,4.2
2013-02-01,fph,Actinopterygii,Perciformes,Gobiidae,Neogobius melanostomus,0.24600000000000002,2.4,8,17.6151,49,3.2
2013-02-01,fph,Actinopterygii,Perciformes,Gobiidae,Proterorhinus marmoratus,0.115,1.1,3.2,12.1667,37,3.5
2013-02-01,fph,Actinopterygii,Perciformes,Labridae,Symphodus cinereus,0.16,1.9,6.2,NA,NA,3.3
2013-02-01,fph,Actinopterygii,Perciformes,Labridae,Symphodus ocellatus,0.12,1,2.9,NA,NA,3.3
2013-02-01,fph,Actinopterygii,Pleuronectiformes,Pleuronectidae,Platichthys flesus,0.6,3.1,12.5,105.5833,155,3.2
2013-02-01,fph,Actinopterygii,Scorpaeniformes,Scorpaenidae,Scorpaena porcus,0.37,4.6,17.5,33.1628,108,3.9
