"genus_species","iucn_authority","iucn_category","lat_range","long_range","trophic_level","mature_age","longevity","diet","mass_g","length_m","depth_num","depth_zone"
"Lagocephalus gloveri","Abe &amp; Tabeta, 1983","dd",NA,NA,NA,NA,NA,NA,NA,0.35,NA,"demersal"
"Parioglossus neocaledonicus","Dingerkus &amp; S<e9>ret, 1992","dd",NA,NA,NA,NA,NA,NA,NA,NA,2.5,"benthopelagic"
"Pegasus laternarius","Cuvier, 1816","dd",NA,NA,NA,NA,NA,NA,NA,0.08,65,"demersal"
"Salanx chinensis","(Osbeck 1765)","dd",NA,NA,NA,NA,NA,NA,NA,0.1610000038,NA,"demersal"
"Salanx cuvieri","Valenciennes, 1850","dd",NA,NA,NA,NA,NA,NA,NA,0.1530000019,NA,"demersal"
"Otolithoides pama","(Hamilton, 1822)","dd",18.783,56,NA,4.9,24.1,NA,NA,1.6,NA,NA
"Macrospinosa cuja","(Hamilton, 1822)","dd",NA,NA,NA,NA,NA,NA,NA,1.52,NA,"benthopelagic"
"Cryptocentrus pavoninoides","(Bleeker, 1849)","dd",NA,NA,NA,NA,NA,NA,NA,0.15,8,"demersal"
"Psettodes erumei","(Bloch &amp; Schneider, 1801)","dd",51.4967,119,4.4,1.3,5.1,NA,9000,0.64,NA,NA
"Oxyurichthys tentacularis","(Valenciennes 1837)","dd",NA,NA,NA,NA,NA,NA,NA,0.17,NA,"demersal"
"Boops lineatus","(Boulenger, 1892)","dd",NA,NA,NA,NA,NA,NA,NA,0.25,NA,"demersal"
"Calamus campechanus","Randall &amp; Caldwell, 1966","dd",NA,NA,NA,1.7,12,"benthivorous",NA,0.21,NA,"demersal"
"Polysteganus coeruleopunctatus","(Klunzinger, 1870)","dd",NA,NA,NA,NA,NA,NA,NA,0.6,NA,"reef-associated"
"Argyrops megalommatus","(Klunzinger, 1870)","dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,"demersal"
"Cheimerius nufar","(Valenciennes, 1830)","dd",NA,NA,NA,NA,NA,NA,NA,0.75,160,"reef-associated"
"Dentex fourmanoiri","Akazaki &amp; S<e9>ret, 1999","dd",NA,NA,NA,NA,NA,NA,NA,0.215,250,"bathydemersal"
"Acanthopagrus omanensis","Iwatsuki &amp; Heemstra, in press","dd",NA,NA,NA,NA,NA,NA,NA,0.145,NA,"demersal"
"Acanthopagrus akazakii","Iwatsuki, Kimura &amp; Yoshino, 2006","dd",NA,NA,NA,NA,NA,NA,NA,0.185,NA,"demersal"
"Acanthopagrus taiwanensis","Iwatsuki &amp; Carpenter, 2006","dd",NA,NA,NA,NA,NA,NA,NA,0.1839999962,NA,"demersal"
"Sparidentex belayewi","Hora &amp; Misra, 1943","dd",NA,NA,NA,NA,NA,NA,NA,0.1929999924,NA,"demersal"
"Lithognathus olivieri","Penrith &amp; Penrith, 1969","dd",NA,NA,NA,NA,NA,NA,NA,0.2560000038,NA,"benthopelagic"
