"genus_species","iucn_authority","iucn_category"
"Lagocephalus gloveri","Abe &amp; Tabeta, 1983","dd"
"Parioglossus neocaledonicus","Dingerkus &amp; Séret, 1992","dd"
"Pegasus laternarius","Cuvier, 1816","dd"
"Salanx chinensis","(Osbeck 1765)","dd"
"Salanx cuvieri","Valenciennes, 1850","dd"
"Otolithoides pama","(Hamilton, 1822)","dd"
"Macrospinosa cuja","(Hamilton, 1822)","dd"
"Cryptocentrus pavoninoides","(Bleeker, 1849)","dd"
"Psettodes erumei","(Bloch &amp; Schneider, 1801)","dd"
"Oxyurichthys tentacularis","(Valenciennes 1837)","dd"
"Sparidentex datnia","Hamilton, 1822","dd"
"Boops lineatus","(Boulenger, 1892)","dd"
"Calamus campechanus","Randall &amp; Caldwell, 1966","dd"
"Polysteganus coeruleopunctatus","(Klunzinger, 1870)","dd"
"Acanthopagrus longispinnis","(Valenciennes 1830)","dd"
"Argyrops megalommatus","(Klunzinger, 1870)","dd"
"Cheimerius nufar","(Valenciennes, 1830)","dd"
"Dentex fourmanoiri","Akazaki &amp; Séret, 1999","dd"
"Acanthopagrus omanensis","Iwatsuki &amp; Heemstra, in press","dd"
"Acanthopagrus akazakii","Iwatsuki, Kimura &amp; Yoshino, 2006","dd"
"Acanthopagrus taiwanensis","Iwatsuki &amp; Carpenter, 2006","dd"
"Sparidentex belayewi","Hora &amp; Misra, 1943","dd"
"Lithognathus olivieri","Penrith &amp; Penrith, 1969","dd"
"Acanthopagrus latus","(Houttuyn, 1782)","dd"
"Spicara martinicus","(Valenciennes, 1830)","dd"
"Prionurus scalprum","Valenciennes, 1835","dd"
"Naso reticulatus","Randall, 2001","dd"
"Prionurus chrysurus","Randall, 2001","dd"
"Zebrasoma gemmatum","(Valenciennes, 1835)","dd"
"Acanthurus polyzona","(Bleeker, 1868)","dd"
"Zebrasoma rostratum","(Günther, 1875)","dd"
"Naso tuberosus","Lacepède, 1801","dd"
"Myxodes ornatus","Stephens &amp; Springer, 1974","dd"
"Ophiclinops pardalis","(McCulloch &amp; Waite, 1918)","dd"
"Enneapterygius sheni","Chiang &amp; Chen, 2008","dd"
"Helcogramma solorensis","Fricke, 1997","dd"
"Helcogramma larvata","Fricke &amp; Randall, 1992","dd"
"Helcogramma maldivensis","Fricke &amp; Randall, 1992","dd"
"Helcogrammoides antarcticus","(Tomo, 1982)","dd"
"Peronedys anguillaris","Steindachner, 1883","dd"
"Protosalanx chinensis","(Basilewsky, 1855)","dd"
"Neopomacentrus taeniurus","(Bleeker, 1856)","dd"
"Neosalanx brevirostris","(Pellegrin, 1923)","dd"
"Oryzias haugiangensis","Roberts, 1998","dd"
"Arius gigas","Boulenger, 1911","dd"
"Cathorops fuerthii","(Steindachner, 1877)","dd"
"Hyporhamphus rosae","(Jordan &amp; Gilbert, 1880)","dd"
"Spaniblennius riodourensis","(Metzelaar, 1919)","dd"
"Parablennius verryckeni","(Poll, 1959)","dd"
"Spaniblennius clandestinus","Bath &amp; Wirtz, 1989","dd"
"Bathyblennius antholops","(Springer &amp; Smith-Vaniz, 1970)","dd"
"Malacoctenus africanus","Cadenat, 1951","dd"
"Microlipophrys bauchotae","(Wirtz &amp; Bath, 1982)","dd"
"Astrapogon stellatus","(Cope, 1867)","dd"
"Derilissus vittiger","Fraser, 1970","dd"
"Derilissus kremnobates","Fraser, 1970","dd"
"Psilotris amblyrhynchus","Smith &amp; Baldwin, 1999","dd"
"Robinsichthys arrowsmithensis","Birdsong, 1988","dd"
"Varicus marilynae","Gilmore, 1979","dd"
"Vomerogobius flavus","Gilbert, 1971","dd"
"Evermannichthys bicolor","Thacker, 2001","dd"
"Evermannichthys silus","Böhlke &amp; Robins, 1969","dd"
"Evermannichthys convictor","Böhlke &amp; Robins, 1969","dd"
"Chriolepis benthonis","Ginsburg, 1953","dd"
"Varicus imswe","Greenfield, 1981","dd"
"Coryphopterus kuna","Victor, 2007","dd"
"Gobioides grahamae","Palmer &amp; Wheeler, 1955","dd"
"Lipogramma flavescens","Gilmore &amp; Jones, 1988","dd"
"Tomicodon clarkei","Williams &amp; Tyler, 2003","dd"
"Tomicodon lavettsmithi","Williams &amp; Tyler, 2003","dd"
"Abudefduf margariteus","(Cuvier, 1830)","dd"
"Stegastes otophorus","(Poey, 1860)","dd"
"Clinus ornatus","Gilchrist &amp; Thompson, 1908","dd"
"Lutjanus buccanella","(Cuvier, 1828)","dd"
"Haemulon album","Cuvier, 1830","dd"
"Callechelys springeri","(Ginsburg, 1951)","dd"
"Lutjanus jocu","(Bloch &amp; Schneider, 1801)","dd"
"Catesbya pseudomuraena","Böhlke &amp; Smith, 1968","dd"
"Genyatremus cavifrons","(Cuvier, 1830)","dd"
"Albula nemoptera","(Fowler, 1911)","dd"
"Akko dionaea","Birdsong &amp; Robins, 1995","dd"
"Membras vagrans","(Goode &amp; Bean, 1879)","dd"
"Gobiomorus polylepis","Ginsburg, 1953","dd"
"Gobionellus hastatus","Girard, 1858","dd"
"Eviota nigriventris","Giltay, 1933","dd"
"Eviota pseudostigma","Lachner &amp; Karnella, 1980","dd"
"Eviota herrei","Jordan &amp; Seale, 1906","dd"
"Gobiodon spilophthalmus","Fowler, 1944","dd"
