date,data_src,family,genus,species,genus_species,length_m,age.maturity,longevity,habitat,feeding.mode,
2019-05-02,pan,Acanthuridae,Acanthurus,bahianus,Acanthurus bahianus,0.205,2.7,11.5,reef-associated,herbivorous,
2019-05-02,pan,Acanthuridae,Acanthurus,chirurgus,Acanthurus chirurgus,0.35,2.7,13.0,reef-associated,herbivorous,
2019-05-02,pan,Acanthuridae,Acanthurus,coeruleus,Acanthurus coeruleus,0.36,2.7,36.0,reef-associated,herbivorous,
2019-05-02,pan,Acanthuridae,Acanthurus,coeruleus,Acanthurus coeruleus,0.36,2.7,36.0,reef-associated,herbivorous,
2019-05-02,pan,Achiridae,Achirus,lineatus,Achirus lineatus,0.23,1.7,7.0,reef-associated,benthivorous,
2019-05-02,pan,Achiridae,Achirus,lineatus,Achirus lineatus,0.23,1.7,7.0,reef-associated,benthivorous,
2019-05-02,pan,Achiridae,Gymnachirus,melas,Gymnachirus melas,0.22,1.7,7.0,demersal,generalist,
2019-05-02,pan,Achiridae,Gymnachirus,melas,Gymnachirus melas,0.22,1.7,7.0,demersal,generalist,
2019-05-02,pan,Achiridae,Gymnachirus,texae,Gymnachirus texae,0.14,1.7,7.0,demersal,generalist,
2019-05-02,pan,Achiridae,Trinectes,inscriptus,Trinectes inscriptus,0.15,1.7,7.0,demersal,benthivorous,
2019-05-02,pan,Achiridae,Trinectes,maculatus,Trinectes maculatus,0.2,1.7,7.0,demersal,benthivorous,
2019-05-02,pan,Achiridae,Trinectes,maculatus,Trinectes maculatus,0.2,1.7,7.0,demersal,benthivorous,
2019-05-02,pan,Achiridae,Trinectes,maculatus,Trinectes maculatus,0.2,1.7,7.0,demersal,benthivorous,
2019-05-02,pan,Achiridae,Trinectes,maculatus,Trinectes maculatus,0.2,1.7,7.0,demersal,benthivorous,
2019-05-02,pan,Acipenseridae,Acipenser,medirostris,Acipenser medirostris,2.03,12.8,60.0,demersal,generalist,
2019-05-02,pan,Acipenseridae,Acipenser,medirostris,Acipenser medirostris,1.63,12.8,60.0,demersal,generalist,
2019-05-02,pan,Acipenseridae,Acipenser,medirostris,Acipenser medirostris,1.63,12.8,60.0,demersal,generalist,
2019-05-02,pan,Acipenseridae,Acipenser,oxyrinchus,Acipenser oxyrinchus,4.3,12.8,60.0,demersal,benthivorous,
