internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
170183,Chrysoblephus cristiceps,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SPARIDAE,Chrysoblephus,cristiceps,,,,,"(Valenciennes, 1830)",
170206,Polysteganus undulosus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SPARIDAE,Polysteganus,undulosus,,,,,"(Regan, 1908)",
193605,Takifugu chinensis,ANIMALIA,CHORDATA,ACTINOPTERYGII,TETRAODONTIFORMES,TETRAODONTIDAE,Takifugu,chinensis,,,,,"(Abe, 1949)","Several genetic experiments have suggested that <span style=""font-style: italic;"">Takifugu chinensis</span> and <span style=""font-style: italic;"">T. rubripes</span> are very closely related and can possibly be regarded as the same species (Reza <span style=""font-style: italic;"">et</span> <span style=""font-style: italic;"">al. </span>2011).&#160;In China, <em>T. chinensis</em> is considered to be a junior synonym of <em>Takifugu pseudommus</em>. However, differences in the anal fin color of these two species makes it unlikely that they are the same species (Matsuura pers. comm. 2011).&#160;Skull structure of the two species is identical, however, and therefore further taxonomic studies are required. The economically important genus&#160;<em>Takifugu</em>&#160;has been recommended for further taxonomic studies based on morphological and molecular analyses (Yamanoue&#160;<em>et al.</em>&#160;2008). We accept the taxonomic validity of <em>T. chinensis.</em>"
196322,Akihito futuna,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,GOBIIDAE,Akihito,futuna,,,,,"Keith, Marquet &amp; Watson, 2008",
196395,Stiphodon discotorquatus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,GOBIIDAE,Stiphodon,discotorquatus,,,,,"Watson, 1995",
196402,Stiphodon rubromaculatus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,GOBIIDAE,Stiphodon,rubromaculatus,,,,,"Keith &amp; Marquet, 2007",
3854,Carcharias taurus,ANIMALIA,CHORDATA,CHONDRICHTHYES,LAMNIFORMES,ODONTASPIDIDAE,Carcharias,taurus,,,,,"Rafinesque, 1810",
39331,Squatina occulta,ANIMALIA,CHORDATA,CHONDRICHTHYES,SQUATINIFORMES,SQUATINIDAE,Squatina,occulta,,,,,"Vooren &amp; da Silva, 1991","There is some controversy concerning the taxonomy and nomenclature of <em>Squatina</em> species of the Southwest Atlantic. <em>Squatina occulta</em> described by Vooren and da Silva (1991) has been regarded as being a junior synonym of <em>S. guggenheim</em> by Soto (2001) in a species-level checklist of the region. Although evidence was not given to support this statement, Bernardes <em>et al.</em> (2005) followed Soto’s proposal. However, later studies have re-evaluated the species’ validity. The validity of <em>S. occulta</em> Vooren and da Silva, 1991 as a distinct species has been confirmed through the study of mitochondrial DNA by Stelbrink <em>et al.</em> (2010) and in a comparative study of Southwest Atlantic <em>Squatina</em> neurocrania (Carvalho <em>et al. </em>2012).&#160;Both studies also recognized <em>S. argentina</em>, <em>S. guggenheim</em>, and <em>S. occulta</em> as the only valid species in the Southwest Atlantic (preceding the description of new species since that time, <em>S. david </em>and <em>S. varii</em>).<br/><br/>Some confusion exists regarding the publication date of the description of&#160;<em>S. occulta</em> (Faria <em>et al.</em> 2014). Some taxonomic literature sources list 1991 as the publication date while others list 1992. This confusion is probably due to the distribution of pre-prints of the article in 1991 before the full issue of the journal was printed in 1992. According to The International Commission on Zoological Nomenclature, the publication date of the <em>S. occulta</em> description is 1991. There has also been discrepancy in referencing the species authority for&#160;<em>S. occulta</em>, particularly the name of the second author (Faria <em>et al. </em>2014); K.G. da Silva’s surname has been spelled ‘da Silva’, ‘Da Silva’, and ‘Silva’. Faria <em>et al.</em> (2014) suggested using the one in the revisions by Vaz and Carvalho (2013) and in online taxonomic databases. Thus, the recommended citation is&#160;<em>S. occulta</em>&#160;Vooren &amp; da Silva, 1991."
39352,Galeorhinus galeus,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,TRIAKIDAE,Galeorhinus,galeus,,,,,"(Linnaeus, 1758)",
39374,Carcharhinus longimanus,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,CARCHARHINIDAE,Carcharhinus,longimanus,,,,,"(Poey, 1861)",
39385,Sphyrna lewini,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SPHYRNIDAE,Sphyrna,lewini,,,,,"(Griffith &amp; Smith, 1834)",
