internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
11150,Lagocephalus gloveri,ANIMALIA,CHORDATA,ACTINOPTERYGII,TETRAODONTIFORMES,TETRAODONTIDAE,Lagocephalus,gloveri,,,,,"Abe &amp; Tabeta, 1983","<span class=""sheader5""><span class=""sheader5"">Puffers of the genus&#160;<em>Lagocephalus</em>&#160;are globally distributed in warm shallow waters, however classification at the species level in&#160;<em>Lagocephalus</em>&#160;has not yet been studied in depth, causing confusion in the status of several species including&#160;<em>L. cheesemanii</em>,&#160;<em>L. gloveri</em>,&#160;<em>L. spadiceus</em>, and&#160;<em>L. wheeleri&#160;</em>(Matsuura&#160;<em>et al.&#160;</em>2011).&#160;</span>"
154656,Parioglossus neocaledonicus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,MICRODESMIDAE,Parioglossus,neocaledonicus,,,,,"Dingerkus &amp; Séret, 1992","It is unclear whether this species should in fact be placed in the Microdesmidae as subfamily Ptereleotrinae (W. Eschmeyer pers. comm. 2009).<br/><br/>This species may be <span style=""font-style: italic;"">Parioglossus marginalis</span> (D. Hoese pers.comm. 2011)."
16475,Pegasus laternarius,ANIMALIA,CHORDATA,ACTINOPTERYGII,GASTEROSTEIFORMES,PEGASIDAE,Pegasus,laternarius,,,,,"Cuvier, 1816",
166197,Salanx chinensis,ANIMALIA,CHORDATA,ACTINOPTERYGII,OSMERIFORMES,SALANGIDAE,Salanx,chinensis,,,,,(Osbeck 1765),
166200,Salanx cuvieri,ANIMALIA,CHORDATA,ACTINOPTERYGII,OSMERIFORMES,SALANGIDAE,Salanx,cuvieri,,,,,"Valenciennes, 1850",
166415,Otolithoides pama,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SCIAENIDAE,Otolithoides,pama,,,,,"(Hamilton, 1822)","Listed as <span style=""font-style: italic;"">Pama pama</span> in Talwar and Jhingran (1991)."
166461,Macrospinosa cuja,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SCIAENIDAE,Macrospinosa,cuja,,,,,"(Hamilton, 1822)",
166974,Cryptocentrus pavoninoides,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,GOBIIDAE,Cryptocentrus,pavoninoides,,,,,"(Bleeker, 1849)",<p><em><br/></em></p>  <p></p>
166996,Psettodes erumei,ANIMALIA,CHORDATA,ACTINOPTERYGII,PLEURONECTIFORMES,PSETTODIDAE,Psettodes,erumei,,,,,"(Bloch &amp; Schneider, 1801)",<p><br/></p>
167010,Oxyurichthys tentacularis,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,GOBIIDAE,Oxyurichthys,tentacularis,,,,,(Valenciennes 1837) ,"This species was described from Java, Indonesia."
170163,Sparidentex datnia,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SPARIDAE,Sparidentex,datnia,,,,,"Hamilton, 1822","This species was recently assigned in the genus <em>Sparidentex</em> (Kume and Yoshino 2008, Iwatsuki and Carpenter 2006). There is a need for genus review (Y. Iwatsuki pers comm. 2009)."
170171,Boops lineatus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SPARIDAE,Boops,lineatus,,,,,"(Boulenger, 1892)",
170187,Calamus campechanus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SPARIDAE,Calamus,campechanus,,,,,"Randall &amp; Caldwell, 1966",
170215,Polysteganus coeruleopunctatus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SPARIDAE,Polysteganus,coeruleopunctatus,,,,,"(Klunzinger, 1870)",
