internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
12137,Lithognathus lithognathus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SPARIDAE,Lithognathus,lithognathus,,,,,"(Cuvier, 1829)",
13145,Menidia conchorum,ANIMALIA,CHORDATA,ACTINOPTERYGII,ATHERINIFORMES,ATHERINOPSIDAE,Menidia,conchorum,,,,,"Hildebrand &amp; Ginsburg, 1927",There is currently a publication in review on the species delineation of <em>Menidia conchorum</em> and Menidia peninsulae (S. O'Leary pers. comm. 2013).
161373,Pseudobatos percellens,ANIMALIA,CHORDATA,CHONDRICHTHYES,RHINOPRISTIFORMES,RHINOBATIDAE,Pseudobatos,percellens,,,,,"(Walbaum, 1792)","Last <em>et al</em>. (2016a) revised the genus <em>Rhinobatos</em>, transferring <em>glaucostigma</em>, <em>horkelii</em>, <em>lentiginosus</em>, <em>leucorhynchus</em>, <em>percellens</em>, <em>planiceps</em>, <em>prahli</em>, and <em>productus</em> to the new genus <em>Pseudobatos</em>."
161378,Carcharhinus acronotus,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,CARCHARHINIDAE,Carcharhinus,acronotus,,,,,"(Poey, 1860)",
126710128,Mobula hypostoma,ANIMALIA,CHORDATA,CHONDRICHTHYES,MYLIOBATIFORMES,MOBULIDAE,Mobula,hypostoma,,,,,"(Bancroft, 1831)","White <em>et al</em>. (2017) concluded that <em>Mobula rochebrunei </em>(East Atlantic Devilray) is a junior synonym of <em>M. hypostoma</em> (Atlantic Devilray), with the latter species being confirmed as occurring in both the Western and Eastern Atlantic."
170247,Petrus rupestris,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SPARIDAE,Petrus,rupestris,,,,,"(Valenciennes, 1830)",
170256,Chrysoblephus gibbiceps,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SPARIDAE,Chrysoblephus,gibbiceps,,,,,"(Valenciennes, 1830)",
178999,Clinus latipennis,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CLINIDAE,Clinus,latipennis,,,,,"Valenciennes, 1836","A sibling species is known from Langebaan, but has yet to be named and published (W. Holleman pers. comm. 2010)."
179081,Springeratus polyporatus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CLINIDAE,Springeratus,polyporatus,,,,,"Fraser, 1972",
185977,Elacatinus atronasus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,GOBIIDAE,Elacatinus,atronasus,,,,,"(Böhlke &amp; Robins, 1968)",
185979,Elacatinus jarocho,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,GOBIIDAE,Elacatinus,jarocho,,,,,"Taylor &amp; Akins, 2007",
186016,Gobiosoma spilotum,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,GOBIIDAE,Gobiosoma,spilotum,,,,,"(Ginsburg, 1939)",
187608,Halichoeres burekae,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LABRIDAE,Halichoeres,burekae,,,,,"Weaver &amp; Rocha, 2007",
188319,Neopomacentrus aquadulcis,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACENTRIDAE,Neopomacentrus,aquadulcis,,,,,"Jenkins &amp; Allen, 2002",
193095,Sicyopterus eudentatus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,GOBIIDAE,Sicyopterus,eudentatus,,,,,"Parenti &amp; Maciolek, 1993",
193654,Takifugu plagiocellatus,ANIMALIA,CHORDATA,ACTINOPTERYGII,TETRAODONTIFORMES,TETRAODONTIDAE,Takifugu,plagiocellatus,,,,,"Li, 2002","This species was described in 2002, and little information exists about it."
193734,Chelonodon pleurospilus,ANIMALIA,CHORDATA,ACTINOPTERYGII,TETRAODONTIFORMES,TETRAODONTIDAE,Chelonodon,pleurospilus,,,,,"(Regan, 1919)",
193751,Canthigaster cyanetron,ANIMALIA,CHORDATA,ACTINOPTERYGII,TETRAODONTIFORMES,TETRAODONTIDAE,Canthigaster,cyanetron,,,,,"Randall &amp; Cea Egaña, 1989","The genus <span style=""font-style: italic;"">Canthigaster</span> is  hypothesized to undergo fast morphological/color differentiation and  slow mtDNA evolution (Randall <span style=""font-style: italic;"">et al</span>. 2008)."
193802,Canthigaster sanctaehelenae,ANIMALIA,CHORDATA,ACTINOPTERYGII,TETRAODONTIFORMES,TETRAODONTIDAE,Canthigaster,sanctaehelenae,,,,,"(Günther, 1870)","The genus <span style=""font-style: italic;"">Canthigaster</span> is hypothesized to undergo fast morphological/colour differentiation and slow mtDNA evolution (Randall <span style=""font-style: italic;"">et al</span>. 2008)"
19488,Rhincodon typus,ANIMALIA,CHORDATA,CHONDRICHTHYES,ORECTOLOBIFORMES,RHINCODONTIDAE,Rhincodon,typus,,,,,"Smith, 1828",
196369,Sicyopterus rapa,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,GOBIIDAE,Sicyopterus,rapa,,,,,"Parenti &amp; Maciolek, 1996",
196370,Sicyopterus sarasini,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,GOBIIDAE,Sicyopterus,sarasini,,,,,"Weber &amp; de Beaufort, 1915",
196377,Smilosicyopus sasali,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,GOBIIDAE,Smilosicyopus,sasali,,,,,"(Keith &amp; Marquet, 2005)",
196398,Stiphodon julieni,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,GOBIIDAE,Stiphodon,julieni,,,,,"Keith, Watson &amp; Marquet, 2002",
19898,Sanopus reticulatus,ANIMALIA,CHORDATA,ACTINOPTERYGII,BATRACHOIDIFORMES,BATRACHOIDIDAE,Sanopus,reticulatus,,,,,"Collette, 1983",
3764,Canthigaster rapaensis,ANIMALIA,CHORDATA,ACTINOPTERYGII,TETRAODONTIFORMES,TETRAODONTIDAE,Canthigaster,rapaensis,,,,,"Allen &amp; Randall, 1977","The genus <span style=""font-style: italic;"">Canthigaster</span> is hypothesized to undergo fast morphological/color differentiation and slow mtDNA evolution (Randall <span style=""font-style: italic;"">et al</span>. 2008)."
3852,Carcharhinus obscurus,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,CARCHARHINIDAE,Carcharhinus,obscurus,,,,,"(Lesueur, 1818)",The Dusky Shark is extremely similar genetically and morphologically to the Galapagos Shark (<em>Carcharhinus galapagensis</em>).  These species share mitochondrial DNA haplotypes but are  distinguishable based on single nuclear polymorphisms (SNPs) (Corrigan <em>et al.</em> 2017) and also occupy different habitats (insular vs. continental).
3853,Carcharhinus plumbeus,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,CARCHARHINIDAE,Carcharhinus,plumbeus,,,,,"(Nardo, 1827)",
162293947,Centrophorus granulosus,ANIMALIA,CHORDATA,CHONDRICHTHYES,SQUALIFORMES,CENTROPHORIDAE,Centrophorus,granulosus,,,,,"(Bloch &amp; Schneider, 1801)","This is the revised taxonomic concept of&#160;<em>Centrophorus grandulosus</em>, which includes&#160;<em>C. lusitanucs</em>&#160;as a junior synonym;&#160;<em>C. lesliei</em>&#160;and&#160;<em>C. longipinnis</em>&#160;are also now split out as newly recognised species."
39341,Isurus oxyrinchus,ANIMALIA,CHORDATA,CHONDRICHTHYES,LAMNIFORMES,LAMNIDAE,Isurus,oxyrinchus,,,,,"Rafinesque, 1810",
41801,Echinorhinus brucus,ANIMALIA,CHORDATA,CHONDRICHTHYES,SQUALIFORMES,ECHINORHINIDAE,Echinorhinus,brucus,,,,,"(Bonnaterre, 1788)",Genetics studies have led some researchers to suspect that there may be an undescribed species of&#160;<em>Echinorhinus&#160;</em>off Oman and elsewhere in the Arabian Sea region (Henderson&#160;<em>et al</em>. 2016).
152781967,Squalus mitsukurii,ANIMALIA,CHORDATA,CHONDRICHTHYES,SQUALIFORMES,SQUALIDAE,Squalus,mitsukurii,,,,,"Jordan &amp; Snyder, 1903","<em>Squalus mitsukurii </em>was&#160;once considered a globally distributed species, but recent morphological and genetic work suggests the species is restricted to temperate waters of Japan and Korea, and is possibly endemic to the Northwest Pacific (Pfleger <em>et al. </em>2018, Ziadi-Künzli<em> et al.</em> 2020). The resolution of the species-complex is ongoing with further species likely being described in the future."
4982,Clinus spatulatus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CLINIDAE,Clinus,spatulatus,,,,,"Bennett, 1983",
60154,Dasyatis hypostigma,ANIMALIA,CHORDATA,CHONDRICHTHYES,MYLIOBATIFORMES,DASYATIDAE,Dasyatis,hypostigma,,,,,"Santos &amp; Carvalho, 2004","This species has been mistaken mainly for <em>Dasyatis </em>(=<em>Hypanus</em>)<em> </em><em>say</em> but also for <em>Dasyatis pastinaca</em> in the past. The specific name has been misspelled as <em>hipostigma</em>, including in the original description."
60161,Styracura schmardae,ANIMALIA,CHORDATA,CHONDRICHTHYES,MYLIOBATIFORMES,POTAMOTRYGONIDAE,Styracura,schmardae,,,,,"(Werner, 1904)",
60204,Mustelus higmani,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,TRIAKIDAE,Mustelus,higmani,,,,,"Springer &amp; Lowe, 1963",
60217,Carcharhinus perezi,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,CARCHARHINIDAE,Carcharhinus,perezi,,,,,"(Poey, 1876)",The scientific name for this species is often misspelled as <em>Carcharhinus perezii</em>. <em>Carcharhinus springeri</em> Sadowsky &amp; Amorim 1977 is considered a synonym (Soto 2001).
60219,Carcharhinus signatus,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,CARCHARHINIDAE,Carcharhinus,signatus,,,,,"(Poey, 1868)",
60225,Isurus paucus,ANIMALIA,CHORDATA,CHONDRICHTHYES,LAMNIFORMES,LAMNIDAE,Isurus,paucus,,,,,"Guitart, 1966",
61398,Atlantoraja cyclophora,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Atlantoraja,cyclophora,,,,,"(Regan, 1903)",
61419,Zapteryx brevirostris,ANIMALIA,CHORDATA,CHONDRICHTHYES,RHINOPRISTIFORMES,TRYGONORRHINIDAE,Zapteryx,brevirostris,,,,,"(Müller &amp; Henle, 1841)",
63110,Atlantoraja platana,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Atlantoraja,platana,,,,,"(Günther, 1880)",
63116,Dipturus trachydermus,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Dipturus,trachydermus,,,,,"(Krefft &amp; Stehmann, 1975)","The spellings <em>Dipturus trachyderma</em> and <em>Dipturus trachydermus</em> have been used for this species. The basionym is&#160;<em>Raja trachyderma </em>and the valid name is <em>Dipturus trachydermus</em> following grammatical rules. While Fricke <em>et al.</em> (2019) use&#160;<em>Dipturus trachyderma</em>, we follow Last <em>et al.</em> (2016) which correctly uses&#160;<em>Dipturus trachydermus.</em>"
63153,Gymnura altavela,ANIMALIA,CHORDATA,CHONDRICHTHYES,MYLIOBATIFORMES,GYMNURIDAE,Gymnura,altavela,,,,,"(Linnaeus, 1758)",
8813,Galaxias postvectis,ANIMALIA,CHORDATA,ACTINOPTERYGII,OSMERIFORMES,GALAXIIDAE,Galaxias,postvectis,,,,,"Clarke, 1899",
10097,Hippoglossus hippoglossus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PLEURONECTIFORMES,PLEURONECTIDAE,Hippoglossus,hippoglossus,,,,,"(Linnaeus, 1758)",
