internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
154708,Diplodus cervinus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SPARIDAE,Diplodus,cervinus,,,,,"Lowe, 1838","<em>Diplodus cervinus</em>&#160;was previously recognized as comprising three subspecies:&#160;<em>Diplodus cervinus cervinus&#160;</em>(NE Atlantic and Mediterranean),&#160;<em>D. c. hottentotus&#160;</em>(SE Atlantic: Angola, South Africa), and&#160;<em>D. c. omanensis</em>&#160;(Indian Ocean: Oman). Currently, three species are recognized:&#160;<em>D. cervinus, D. hottentotus&#160;</em>(Heemstra and Heemstra 2004)&#160;and<em>&#160;D. omanensis&#160;</em>(Bauchot and Bianchi 1984, Amir&#160;<em>et al.</em>&#160;2013)<em>.</em>&#160;However, the&#160;<em>Diplodus cervinus</em>&#160;complex is in need of taxonomic review (Y. Iwatsuki pers. comm. 2014)."
154767,Membras martinica,ANIMALIA,CHORDATA,ACTINOPTERYGII,ATHERINIFORMES,ATHERINOPSIDAE,Membras,martinica,,,,,"(Valenciennes, 1835)",
154976,Drombus halei,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,GOBIIDAE,Drombus,halei,,,,,"Whitley, 1935","In Australia, this species is easily confused with <span style=""font-style: italic;"">Drombus triangularis</span>, with which it is sympatric across the north. The species may also be a synonym of <span style=""font-style: italic;"">Drombus palackyi</span> described from Samoa."
155020,Anchoa walkeri,ANIMALIA,CHORDATA,ACTINOPTERYGII,CLUPEIFORMES,ENGRAULIDAE,Anchoa,walkeri,,,,,"Baldwin &amp; Chang, 1970",
155051,Microgobius tabogensis,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,GOBIIDAE,Microgobius,tabogensis,,,,,"Meek &amp; Hildebrand, 1928",
155080,Hyporhamphus roberti,ANIMALIA,CHORDATA,ACTINOPTERYGII,BELONIFORMES,HEMIRAMPHIDAE,Hyporhamphus,roberti,,,,,"(Valenciennes, 1847)",<strong>Published data: </strong>This species has two subspecies:&#160; <em>Hyporhamphus roberti hildebrandi</em> and <em>Hyporhamphus roberti roberti</em>.<br/><strong>Jamaica Caribbean Workshop:</strong>Early records of <em>Hyporhamphus roberti</em> from continental United States refer to either <em>H. meeki</em> or <em>H. unifasciatus</em>.
155130,Caranx sexfasciatus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CARANGIDAE,Caranx,sexfasciatus,,,,,"Quoy &amp; Gaimard, 1825",
155152,Lutjanus apodus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LUTJANIDAE,Lutjanus,apodus,,,,,"(Walbaum, 1792)",
155207,Menidia peninsulae,ANIMALIA,CHORDATA,ACTINOPTERYGII,ATHERINIFORMES,ATHERINOPSIDAE,Menidia,peninsulae,,,,,"(Goode &amp; Bean, 1879)",
155259,Strongylura marina,ANIMALIA,CHORDATA,ACTINOPTERYGII,BELONIFORMES,BELONIDAE,Strongylura,marina,,,,,"(Walbaum, 1792)","<p>Two other common and very similar species of western Atlantic <em>Strongylura</em> occur alongside <em>Strongylura marina</em> in the Western Central Atlantic: <em>Strongylura notata</em> and <em>Strongylura timucu</em>. Until the late 1960s, S. timucu was largely considered to be synonymous with <em>S. marina</em> (Berry and Rivas 1962). Collette (1968) notes that <em>S. notata</em> differs from <em>S. marina</em> and <em>S. timucu</em> in having fewer anal rays and fewer predorsal scales, and internal examination also reveals fewer vertebrae and other distinguishing skeletal features. Internal examination also reveals that both gonads are developed in <em>S. tumucu</em> while only the right gonad is developed in <em>S. marina</em>. Typically, <em>S. timucu</em> is also somewhat darker in coloration than <em>S. marina</em> (Hoese and Moore 1977). <em>Strongylura notata</em> differs externally from <em>S. marina</em>, possessing 13-15 dorsal rays and 13-16 anal rays (Hoese and Moore 1977).<strong></strong></p>"
155273,Ostorhinchus lateralis,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,APOGONIDAE,Ostorhinchus,lateralis,,,,,"(Valenciennes, 1832)","This species has recently been placed in the genus <span style=""font-style: italic;"">Ostorhinchus </span>by Randall (2005) based on L.M.R. Bergman's unpublished PhD thesis (in which <span style=""font-style: italic;"">Ostorhinchus</span> was shown to be polyphyletic). The generic placement of this species may change."
15873,Pagrus pagrus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SPARIDAE,Pagrus,pagrus,,,,,"(Linnaeus, 1758)","Genetic studies of <em>Pagrus pagrus</em> have shown Western Atlantic samples to be more closely related to each other than to samples from the Eastern North Atlantic. Within the Western North Atlantic, no significant population differentiation was observed, and within the eastern North Atlantic, only the Azores sample showed detectable differences from those from Crete and Madeira. These data indicate general homogeneity within large areas, and deep divisions between these areas (Ball <em>et al</em>. 2007)."
16012,Favonigobius reichei,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,GOBIIDAE,Favonigobius,reichei,,,,,"(Bleeker, 1854)",This species appeared in the IUCN Red List prior to 2008 under the generic name <em>Papillogobius</em>.
161318,Leucoraja lentiginosa,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Leucoraja,lentiginosa,,,,,"(Bigelow &amp; Schroeder, 1951)",Has previously been confused with <em>Leucoraja garmani</em> (McEachran and Carvalho 2002).
161331,Dactylobatus clarkii,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Dactylobatus,clarkii,,,,,"(Bigelow &amp; Schroeder, 1958)",
161443,Etmopterus pusillus,ANIMALIA,CHORDATA,CHONDRICHTHYES,SQUALIFORMES,ETMOPTERIDAE,Etmopterus,pusillus,,,,,"(Lowe, 1839)","The similar, but larger,<em>&#160;Etmopterus bigelowi </em>was previously confused with this species until described as a distinct species by Shirai and Tachikawa (1993)."
161514,Dipturus oregoni,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Dipturus,oregoni,,,,,"(Bigelow &amp; Schroeder, 1958)",
