internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
10030,Hexanchus griseus,ANIMALIA,CHORDATA,CHONDRICHTHYES,HEXANCHIFORMES,HEXANCHIDAE,Hexanchus,griseus,,,,,"(Bonnaterre, 1788)",
161403,Somniosus pacificus,ANIMALIA,CHORDATA,CHONDRICHTHYES,SQUALIFORMES,SOMNIOSIDAE,Somniosus,pacificus,,,,,"Bigelow &amp; Schroeder, 1944",Interspecific hybridization of the Pacific Sleeper Shark (<em>S. pacificus</em>) with the Greenland Shark (<em>S. microcephalus</em>) has likely been ongoing at the edges of their distributions since initial divergence (Walter <em>et al</em>. 2017).
161518,Mustelus norrisi,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,TRIAKIDAE,Mustelus,norrisi,,,,,"Springer, 1939","This species can be visually distinguished from two morphologically similar regional congeners, the Dusky Smoothhound (<em>Mustelus canis</em>) and the Gulf of Mexico Smoothhound (<em>M. sinusmexicanus</em>) by several characters including fin shape and ampullary pore patterns (Giresi <em>et al. </em>2013)."
161524,Carcharhinus isodon,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,CARCHARHINIDAE,Carcharhinus,isodon,,,,,"(Müller &amp; Henle, 1839)",
161564,Carcharhinus altimus,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,CARCHARHINIDAE,Carcharhinus,altimus,,,,,"(Springer, 1950)","The Bignose Shark is morphologically distinct but genetically similar to the Sandbar Shark (<em>Carcharhinus plumbeus</em>) (Naylor <em>et al.</em> 2012, Duffy and Struthers 2017)."
170158,Dentex angolensis,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SPARIDAE,Dentex,angolensis,,,,,"Poll &amp; Maul, 1953",
170168,Stenotomus chrysops,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SPARIDAE,Stenotomus,chrysops,,,,,"(Linnaeus, 1766)",
170170,Chrysoblephus laticeps,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SPARIDAE,Chrysoblephus,laticeps,,,,,"(Valenciennes, 1830)",
170179,Acanthopagrus chinshira,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SPARIDAE,Acanthopagrus,chinshira,,,,,"Kume &amp; Yoshino, 2008","This species was described on the basis of specimens collected from Nakagusuku Bay and Haneji Inlet, Okinawa Island, Ryukyu Islands, Japan. Although the present new species has been often misidentified as <em>Acanthopagrus australis </em>(Günther), morphological and genetic evidence showed that it is clearly different from the latter species (Kume and Yoshino 2008, Hsu 2011)."
170194,Chrysoblephus anglicus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SPARIDAE,Chrysoblephus,anglicus,,,,,"(Gilchrist &amp; Thompson, 1908)",
