internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
11200,Lamna nasus,ANIMALIA,CHORDATA,CHONDRICHTHYES,LAMNIFORMES,LAMNIDAE,Lamna,nasus,,,,,"(Bonnaterre, 1788)",
12417,Lutjanus cyanopterus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LUTJANIDAE,Lutjanus,cyanopterus,,,,,"(Cuvier, 1828)",
155018,Sciades parkeri,ANIMALIA,CHORDATA,ACTINOPTERYGII,SILURIFORMES,ARIIDAE,Sciades,parkeri,,,,,"(Traill, 1832)","Marceniuk (2005) placed this species in <em>Aspistor</em>, but it is now generally agreed that the appropriate name is <em>Sciades parkeri</em>. A revised (unified) nomenclature for Ariidae is currently underway (R. Betancur pers. comm. 2014)."
161436,Myliobatis goodei,ANIMALIA,CHORDATA,CHONDRICHTHYES,MYLIOBATIFORMES,MYLIOBATIDAE,Myliobatis,goodei,,,,,"Garman, 1885","Records of eastern Atlantic <em>Myliobatis aquila</em> from southern Brazil probably refer to this species, if both species are indeed distinct (if not, the name <em>M. aquila</em> has priority). There are two sister species in the southern part of its range under the present name <em>M. goodei</em>, with a description of the second species pending (Ruocco <em>et al. </em>2012)."
161696,Alopias superciliosus,ANIMALIA,CHORDATA,CHONDRICHTHYES,LAMNIFORMES,ALOPIIDAE,Alopias,superciliosus,,,,,"Lowe, 1841",
161743,Pseudobatos lentiginosus,ANIMALIA,CHORDATA,CHONDRICHTHYES,RHINOPRISTIFORMES,RHINOBATIDAE,Pseudobatos,lentiginosus,,,,,"(Garman, 1880)","Last <em>et al</em>. (2016a) revised the genus <em>Rhinobatos</em>, transferring <em>glaucostigma</em>, <em>horkelii</em>, <em>lentiginosus</em>, <em>leucorhynchus</em>, <em>percellens</em>, <em>planiceps</em>, <em>prahli</em>, and <em>productus</em> to the new genus <em>Pseudobatos</em>."
166966,Verasper variegatus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PLEURONECTIFORMES,PLEURONECTIDAE,Verasper,variegatus,,,,,"(Temminck &amp; Schlegel, 1846)",
170161,Cheimerius matsubarai,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SPARIDAE,Cheimerius,matsubarai,,,,,"Akazaki, 1962",
170173,Acanthopagrus vagus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SPARIDAE,Acanthopagrus,vagus,,,,,"Peters, 1852",<em>Acanthopagrus vagus</em> was previously confused with<em> A. berda</em> (Forsskål 1775) in South Africa (Heemstra and Heemstra 2004). This species was recently separated as a separate species from <em>A. berda</em> (Iwatsuki and Heemstra 2010).
170184,Polysteganus praeorbitalis,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SPARIDAE,Polysteganus,praeorbitalis,,,,,"(Günther, 1859)",
170199,Acanthopagrus sivicolus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SPARIDAE,Acanthopagrus,sivicolus,,,,,"Akazaki, 1962","This may be a subpopulation of <span style=""font-style: italic;"">Acanthopagrus schlegelli</span> (Y. Iwatsuki pers. comm. 2009). Mitochondrial DNA analyses based on cytochrome b gene sequences did not distinguish individuals of <em>A. schlegelii </em>and <em>A. sivicolus</em>, reflecting either historical introgression or recent speciation and incomplete sorting of their mitochondrial lineages (Hsu <em>et al.&#160;</em>2011). Pending further taxonomic work, <em>A. sivicolus </em>is here regarded as a distinct species."
170204,Cymatoceps nasutus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SPARIDAE,Cymatoceps,nasutus,,,,,"(Castelnau, 1861)",
170225,Rhabdosargus globiceps,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SPARIDAE,Rhabdosargus,globiceps,,,,,"(Valenciennes, 1830)",
170245,Dentex dentex,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SPARIDAE,Dentex,dentex,,,,,(Linnaeus 1758),Genetic analysis of the geographical partitioning revealed that this species showed an Atlantic-Mediterranean partitioning (Patarnello <em>et al.</em> 2007) indicating that exchanges between subpopulations are reduced and may limit rescue effects from migration and dispersal from other subpopulations to compensate for impacts of direct exploitation.
