"","genus_species","genus","family","order","class","iucn_authority","iucn_category","mature_age","longevity","lat_range","long_range","diet","trophic_level","mass_g","depth_zone","length_m","depth_num"
"1","Lagocephalus gloveri","Lagocephalus","Tetraodontidae","Tetraodontiformes","Teleostei","Abe &amp; Tabeta, 1983","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.35,NA
"2","Parioglossus neocaledonicus","Parioglossus","Microdesmidae","Perciformes","Teleostei","Dingerkus &amp; S<e9>ret, 1992","dd",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",NA,2.5
"3","Pegasus laternarius","Pegasus","Pegasidae","Gasterosteiformes","Teleostei","Cuvier, 1816","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.08,65
"4","Salanx chinensis","Protosalanx","Salangidae","Osmeriformes","Teleostei","(Osbeck 1765)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1610000038,NA
"5","Salanx cuvieri","Salanx","Salangidae","Osmeriformes","Teleostei","Valenciennes, 1850","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1530000019,NA
"6","Otolithoides pama","Otolithoides","Sciaenidae","Perciformes","Teleostei","(Hamilton, 1822)","dd",4.9,24.1,18.783,56,NA,NA,NA,"benthopelagic",1.6,NA
"7","Macrospinosa cuja","Macrospinosa","Sciaenidae","Perciformes","Teleostei","(Hamilton, 1822)","dd",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",1.52,NA
"8","Cryptocentrus pavoninoides","Cryptocentrus","Gobiidae","Perciformes","Teleostei","(Bleeker, 1849)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.15,8
"9","Psettodes erumei","Psettodes","Psettodidae","Pleuronectiformes","Teleostei","(Bloch &amp; Schneider, 1801)","dd",1.3,5.1,51.4967,119,NA,4.4,9000,"demersal",0.64,NA
"10","Oxyurichthys tentacularis","Oxyurichthys","Gobiidae","Perciformes","Teleostei","(Valenciennes 1837)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.17,NA
"11","Boops lineatus","Boops","Sparidae","Perciformes","Teleostei","(Boulenger, 1892)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.25,NA
"12","Calamus campechanus","Calamus","Sparidae","Perciformes","Teleostei","Randall &amp; Caldwell, 1966","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.21,14.5
"13","Polysteganus coeruleopunctatus","Polysteganus","Sparidae","Perciformes","Teleostei","(Klunzinger, 1870)","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.6,NA
"14","Argyrops megalommatus","Argyrops","Sparidae","Perciformes","Teleostei","(Klunzinger, 1870)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"15","Cheimerius nufar","Cheimerius","Sparidae","Perciformes","Teleostei","(Valenciennes, 1830)","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.75,160
"16","Dentex fourmanoiri","Dentex","Sparidae","Perciformes","Teleostei","Akazaki &amp; S<e9>ret, 1999","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.215,250
"17","Acanthopagrus omanensis",NA,NA,NA,NA,"Iwatsuki &amp; Heemstra, in press","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.145,NA
"18","Acanthopagrus akazakii",NA,NA,NA,NA,"Iwatsuki, Kimura &amp; Yoshino, 2006","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.185,NA
"19","Acanthopagrus taiwanensis",NA,NA,NA,NA,"Iwatsuki &amp; Carpenter, 2006","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1839999962,NA
"20","Sparidentex belayewi",NA,NA,NA,NA,"Hora &amp; Misra, 1943","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1929999924,NA
"21","Lithognathus olivieri","Lithognathus","Sparidae","Perciformes","Teleostei","Penrith &amp; Penrith, 1969","dd",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.2560000038,NA
"22","Acanthopagrus latus","Acanthopagrus","Sparidae","Perciformes","Teleostei","(Houttuyn, 1782)","dd",3.2,12.7,51.7333,95,NA,3.2,1500,"demersal",0.5,NA
"23","Spicara martinicus","Spicara","Centracanthidae","Perciformes","Teleostei","(Valenciennes, 1830)","dd",NA,NA,NA,NA,NA,NA,NA,"pelagic-neritic",NA,NA
"24","Prionurus scalprum","Prionurus","Acanthuridae","Perciformes","Teleostei","Valenciennes, 1835","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.5,NA
"25","Naso reticulatus","Naso","Acanthuridae","Perciformes","Teleostei","Randall, 2001","dd",NA,NA,NA,NA,NA,NA,2250,"reef-associated",0.49,NA
"26","Prionurus chrysurus","Prionurus","Acanthuridae","Perciformes","Teleostei","Randall, 2001","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.3,22.5
"27","Zebrasoma gemmatum","Zebrasoma","Acanthuridae","Perciformes","Teleostei","(Valenciennes, 1835)","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.22,35.5
"28","Acanthurus polyzona","Acanthurus","Acanthuridae","Perciformes","Teleostei","(Bleeker, 1868)","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.11,NA
"29","Zebrasoma rostratum","Zebrasoma","Acanthuridae","Perciformes","Teleostei","(G<fc>nther, 1875)","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.21,NA
"30","Naso tuberosus","Naso","Acanthuridae","Perciformes","Teleostei","Lacep<e8>de, 1801","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.6,NA
"31","Myxodes ornatus","Myxodes","Clinidae","Perciformes","Teleostei","Stephens &amp; Springer, 1974","dd",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",NA,NA
"32","Ophiclinops pardalis","Ophiclinops","Clinidae","Perciformes","Teleostei","(McCulloch &amp; Waite, 1918)","dd",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.07,NA
"33","Enneapterygius sheni",NA,NA,NA,NA,"Chiang &amp; Chen, 2008","dd",NA,NA,NA,NA,NA,NA,NA,"pelagic-neritic",0.02299999952,7.5
"34","Helcogramma solorensis","Helcogramma","Tripterygiidae","Perciformes","Teleostei","Fricke, 1997","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.03900000095,5
"35","Helcogramma larvata","Helcogramma","Tripterygiidae","Perciformes","Teleostei","Fricke &amp; Randall, 1992","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.02220000029,1
"36","Helcogramma maldivensis","Helcogramma","Tripterygiidae","Perciformes","Teleostei","Fricke &amp; Randall, 1992","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.0275999999,5
"37","Helcogrammoides antarcticus","Helcogrammoides","Tripterygiidae","Perciformes","Teleostei","(Tomo, 1982)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.05900000095,NA
"38","Neopomacentrus taeniurus","Neopomacentrus","Pomacentridae","Perciformes","Teleostei","(Bleeker, 1856)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1,1.5
"39","Neosalanx brevirostris","Neosalanx","Salangidae","Osmeriformes","Teleostei","(Pellegrin, 1923)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.07,NA
"40","Cathorops fuerthii","Cathorops","Ariidae","Siluriformes","Teleostei","(Steindachner, 1877)","dd",2.2,8.3,25.42,29,NA,4.4,NA,"demersal",0.28,NA
"41","Hyporhamphus rosae","Hyporhamphus","Hemiramphidae","Beloniformes","Teleostei","(Jordan &amp; Gilbert, 1880)","dd",NA,NA,NA,NA,NA,NA,NA,"pelagic-neritic",0.15,NA
"42","Spaniblennius riodourensis","Spaniblennius","Blenniidae","Perciformes","Teleostei","(Metzelaar, 1919)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.05099999905,23.5
"43","Parablennius verryckeni","Parablennius","Blenniidae","Perciformes","Teleostei","(Poll, 1959)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.04900000095,NA
"44","Spaniblennius clandestinus","Spaniblennius","Blenniidae","Perciformes","Teleostei","Bath &amp; Wirtz, 1989","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"45","Bathyblennius antholops","Bathyblennius","Blenniidae","Perciformes","Teleostei","(Springer &amp; Smith-Vaniz, 1970)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.05360000134,114.5
