"","genus_species","genus","family","order","class","iucn_authority","iucn_category","mature_age","longevity","lat_range","long_range","diet","trophic_level","mass_g","depth_zone","length_m","depth_num","iucn_text"
"1","Lagocephalus gloveri","Lagocephalus","Tetraodontidae","Tetraodontiformes","Teleostei","Abe &amp; Tabeta, 1983","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.35,NA,"Data Deficient"
"2","Parioglossus neocaledonicus","Parioglossus","Microdesmidae","Perciformes","Teleostei","Dingerkus &amp; S<e9>ret, 1992","dd",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",NA,2.5,"Data Deficient"
"3","Pegasus laternarius","Pegasus","Pegasidae","Gasterosteiformes","Teleostei","Cuvier, 1816","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.08,65,"Data Deficient"
"4","Salanx chinensis","Protosalanx","Salangidae","Osmeriformes","Teleostei","(Osbeck 1765)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1610000038,NA,"Data Deficient"
"5","Salanx cuvieri","Salanx","Salangidae","Osmeriformes","Teleostei","Valenciennes, 1850","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1530000019,NA,"Data Deficient"
"6","Otolithoides pama","Otolithoides","Sciaenidae","Perciformes","Teleostei","(Hamilton, 1822)","dd",4.9,24.1,18.783,56,NA,NA,NA,"benthopelagic",1.6,NA,"Data Deficient"
"7","Macrospinosa cuja","Macrospinosa","Sciaenidae","Perciformes","Teleostei","(Hamilton, 1822)","dd",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",1.52,NA,"Data Deficient"
"8","Cryptocentrus pavoninoides","Cryptocentrus","Gobiidae","Perciformes","Teleostei","(Bleeker, 1849)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.15,8,"Data Deficient"
"9","Psettodes erumei","Psettodes","Psettodidae","Pleuronectiformes","Teleostei","(Bloch &amp; Schneider, 1801)","dd",1.3,5.1,51.4967,119,NA,4.4,9000,"demersal",0.64,NA,"Data Deficient"
"10","Oxyurichthys tentacularis","Oxyurichthys","Gobiidae","Perciformes","Teleostei","(Valenciennes 1837)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.17,NA,"Data Deficient"
"11","Boops lineatus","Boops","Sparidae","Perciformes","Teleostei","(Boulenger, 1892)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.25,NA,"Data Deficient"
"12","Calamus campechanus","Calamus","Sparidae","Perciformes","Teleostei","Randall &amp; Caldwell, 1966","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.21,14.5,"Data Deficient"
"13","Polysteganus coeruleopunctatus","Polysteganus","Sparidae","Perciformes","Teleostei","(Klunzinger, 1870)","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.6,NA,"Data Deficient"
"14","Argyrops megalommatus","Argyrops","Sparidae","Perciformes","Teleostei","(Klunzinger, 1870)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA,"Data Deficient"
