"","db","query","genus","family","order","class"
"1","ncbi","Lagocephalus gloveri","Lagocephalus","Tetraodontidae","Tetraodontiformes","Actinopteri"
"2","ncbi","Parioglossus neocaledonicus",NA,NA,NA,NA
"3","ncbi","Pegasus laternarius","Pegasus","Pegasidae","Syngnathiformes","Actinopteri"
"4","ncbi","Salanx chinensis","Salanx","Salangidae","Osmeriformes","Actinopteri"
"5","ncbi","Salanx cuvieri","Salanx","Salangidae","Osmeriformes","Actinopteri"
"6","ncbi","Otolithoides pama","Pama","Sciaenidae",NA,"Actinopteri"
"7","ncbi","Macrospinosa cuja","Macrospinosa","Sciaenidae",NA,"Actinopteri"
"8","ncbi","Cryptocentrus pavoninoides","Cryptocentrus","Gobiidae","Gobiiformes","Actinopteri"
"9","ncbi","Psettodes erumei","Psettodes","Psettodidae","Pleuronectiformes","Actinopteri"
"10","ncbi","Oxyurichthys tentacularis","Oxyurichthys","Gobiidae","Gobiiformes","Actinopteri"
"11","ncbi","Boops lineatus",NA,NA,NA,NA
"12","ncbi","Calamus campechanus",NA,NA,NA,NA
"13","ncbi","Polysteganus coeruleopunctatus","Polysteganus","Sparidae","Spariformes","Actinopteri"
"14","ncbi","Argyrops megalommatus","Argyrops","Sparidae","Spariformes","Actinopteri"
"15","ncbi","Cheimerius nufar","Cheimerius","Sparidae","Spariformes","Actinopteri"
"16","ncbi","Dentex fourmanoiri","Dentex","Sparidae","Spariformes","Actinopteri"
"17","ncbi","Acanthopagrus omanensis",NA,NA,NA,NA
"18","ncbi","Acanthopagrus akazakii",NA,NA,NA,NA
"19","ncbi","Acanthopagrus taiwanensis","Acanthopagrus","Sparidae","Spariformes","Actinopteri"
"20","ncbi","Sparidentex belayewi",NA,NA,NA,NA
"21","ncbi","Lithognathus olivieri",NA,NA,NA,NA
"22","ncbi","Acanthopagrus latus","Acanthopagrus","Sparidae","Spariformes","Actinopteri"
"23","ncbi","Spicara martinicus",NA,NA,NA,NA
"24","ncbi","Prionurus scalprum","Prionurus","Acanthuridae","Acanthuriformes","Actinopteri"
"25","ncbi","Naso reticulatus","Naso","Acanthuridae","Acanthuriformes","Actinopteri"
"26","ncbi","Prionurus chrysurus","Prionurus","Acanthuridae","Acanthuriformes","Actinopteri"
"27","ncbi","Zebrasoma gemmatum","Zebrasoma","Acanthuridae","Acanthuriformes","Actinopteri"
"28","ncbi","Acanthurus polyzona","Acanthurus","Acanthuridae","Acanthuriformes","Actinopteri"
"29","ncbi","Zebrasoma rostratum","Zebrasoma","Acanthuridae","Acanthuriformes","Actinopteri"
"30","ncbi","Naso tuberosus","Naso","Acanthuridae","Acanthuriformes","Actinopteri"
"31","ncbi","Myxodes ornatus",NA,NA,NA,NA
"32","ncbi","Ophiclinops pardalis","Ophiclinops","Clinidae","Blenniiformes","Actinopteri"
"33","ncbi","Enneapterygius sheni",NA,NA,NA,NA
"34","ncbi","Helcogramma solorensis",NA,NA,NA,NA
"35","ncbi","Helcogramma larvata",NA,NA,NA,NA
"36","ncbi","Helcogramma maldivensis","Helcogramma","Tripterygiidae","Blenniiformes","Actinopteri"
"37","ncbi","Helcogrammoides antarcticus",NA,NA,NA,NA
"38","ncbi","Neopomacentrus taeniurus","Neopomacentrus","Pomacentridae",NA,"Actinopteri"
"39","ncbi","Neosalanx brevirostris","Neosalanx","Salangidae","Osmeriformes","Actinopteri"
"40","ncbi","Cathorops fuerthii","Cathorops","Ariidae","Siluriformes","Actinopteri"
"41","ncbi","Hyporhamphus rosae",NA,NA,NA,NA
"42","ncbi","Spaniblennius riodourensis",NA,NA,NA,NA
"43","ncbi","Parablennius verryckeni",NA,NA,NA,NA
"44","ncbi","Spaniblennius clandestinus",NA,NA,NA,NA
"45","ncbi","Bathyblennius antholops",NA,NA,NA,NA
"46","ncbi","Malacoctenus africanus",NA,NA,NA,NA
"47","ncbi","Microlipophrys bauchotae","Microlipophrys","Blenniidae","Blenniiformes","Actinopteri"
"48","ncbi","Astrapogon stellatus","Astrapogon","Apogonidae","Kurtiformes","Actinopteri"
"49","ncbi","Derilissus vittiger",NA,NA,NA,NA
"50","ncbi","Derilissus kremnobates",NA,NA,NA,NA
"51","ncbi","Robinsichthys arrowsmithensis",NA,NA,NA,NA
"52","ncbi","Varicus marilynae",NA,NA,NA,NA
"53","ncbi","Vomerogobius flavus",NA,NA,NA,NA
"54","ncbi","Evermannichthys bicolor",NA,NA,NA,NA
"55","ncbi","Evermannichthys silus",NA,NA,NA,NA
"56","ncbi","Evermannichthys convictor",NA,NA,NA,NA
"57","ncbi","Chriolepis benthonis",NA,NA,NA,NA
"58","ncbi","Coryphopterus kuna","Coryphopterus","Gobiidae","Gobiiformes","Actinopteri"
"59","ncbi","Gobioides grahamae",NA,NA,NA,NA
"60","ncbi","Lipogramma flavescens",NA,NA,NA,NA
"61","ncbi","Tomicodon clarkei",NA,NA,NA,NA
"62","ncbi","Tomicodon lavettsmithi","Tomicodon","Gobiesocidae","Blenniiformes","Actinopteri"
"63","ncbi","Abudefduf margariteus","Abudefduf","Pomacentridae",NA,"Actinopteri"
"64","ncbi","Stegastes otophorus",NA,NA,NA,NA
"65","ncbi","Clinus ornatus",NA,NA,NA,NA
"66","ncbi","Lutjanus buccanella","Lutjanus","Lutjanidae","Lutjaniformes","Actinopteri"
"67","ncbi","Haemulon album","Haemulon","Haemulidae","Lutjaniformes","Actinopteri"
"68","ncbi","Callechelys springeri",NA,NA,NA,NA
"69","ncbi","Lutjanus jocu","Lutjanus","Lutjanidae","Lutjaniformes","Actinopteri"
"70","ncbi","Catesbya pseudomuraena",NA,NA,NA,NA
"71","ncbi","Genyatremus cavifrons","Genyatremus","Haemulidae","Lutjaniformes","Actinopteri"
"72","ncbi","Albula nemoptera","Albula","Albulidae","Albuliformes","Actinopteri"
"73","ncbi","Akko dionaea",NA,NA,NA,NA
"74","ncbi","Membras vagrans",NA,NA,NA,NA
"75","ncbi","Gobiomorus polylepis","Gobiomorus","Eleotridae","Gobiiformes","Actinopteri"
"76","ncbi","Eviota nigriventris","Eviota","Gobiidae","Gobiiformes","Actinopteri"
"77","ncbi","Eviota pseudostigma",NA,NA,NA,NA
"78","ncbi","Eviota herrei","Eviota","Gobiidae","Gobiiformes","Actinopteri"
"79","ncbi","Gobiodon spilophthalmus","Gobiodon","Gobiidae","Gobiiformes","Actinopteri"
"80","ncbi","Lotilia graciliosa","Lotilia","Gobiidae","Gobiiformes","Actinopteri"
"81","ncbi","Stiphodon percnopterygionus","Stiphodon","Gobiidae","Gobiiformes","Actinopteri"
"82","ncbi","Chelonodon dapsilis",NA,NA,NA,NA
"83","ncbi","Canthigaster flavoreticulata",NA,NA,NA,NA
"84","ncbi","Arothron carduus","Arothron","Tetraodontidae","Tetraodontiformes","Actinopteri"
"85","ncbi","Sphoeroides andersonianus",NA,NA,NA,NA
"86","ncbi","Sphoeroides georgemilleri",NA,NA,NA,NA
"87","ncbi","Takifugu variomaculatus","Takifugu","Tetraodontidae","Tetraodontiformes","Actinopteri"
"88","ncbi","Torquigener randalli",NA,NA,NA,NA
"89","ncbi","Torquigener marleyi",NA,NA,NA,NA
"90","ncbi","Canthigaster investigatoris",NA,NA,NA,NA
"91","ncbi","Tetraodon implutus",NA,NA,NA,NA
"92","ncbi","Torquigener hicksi","Torquigener","Tetraodontidae","Tetraodontiformes","Actinopteri"
"93","ncbi","Lagocephalus cheesemanii","Lagocephalus","Tetraodontidae","Tetraodontiformes","Actinopteri"
"94","ncbi","Sphoeroides nitidus",NA,NA,NA,NA
"95","ncbi","Arothron leopardus","Arothron","Tetraodontidae","Tetraodontiformes","Actinopteri"
"96","ncbi","Acanthostracion notacanthus",NA,NA,NA,NA
"97","ncbi","Canthigaster punctata",NA,NA,NA,NA
"98","ncbi","Takifugu basilevskianus","Takifugu","Tetraodontidae","Tetraodontiformes","Actinopteri"
"99","ncbi","Takifugu pseudommus","Takifugu","Tetraodontidae","Tetraodontiformes","Actinopteri"
"100","ncbi","Emblemariopsis arawak","Emblemariopsis","Chaenopsidae","Blenniiformes","Actinopteri"
"101","ncbi","Albula argentea","Albula","Albulidae","Albuliformes","Actinopteri"
"102","ncbi","Albula oligolepis","Albula","Albulidae","Albuliformes","Actinopteri"
"103","ncbi","Albula virgata","Albula","Albulidae","Albuliformes","Actinopteri"
"104","ncbi","Pterothrissus gissu","Pterothrissus","Albulidae","Albuliformes","Actinopteri"
"105","ncbi","Elops hawaiensis","Elops","Elopidae","Elopiformes","Actinopteri"
"106","ncbi","Elops smithi","Elops","Elopidae","Elopiformes","Actinopteri"
"107","ncbi","Lutjanus agennes","Lutjanus","Lutjanidae","Lutjaniformes","Actinopteri"
"108","ncbi","Paracaesio waltervadi",NA,NA,NA,NA
"109","ncbi","Ocyurus chrysurus","Ocyurus","Lutjanidae","Lutjaniformes","Actinopteri"
"110","ncbi","Lutjanus goreensis","Lutjanus","Lutjanidae","Lutjaniformes","Actinopteri"
"111","ncbi","Lutjanus endecacanthus",NA,NA,NA,NA
"112","ncbi","Lutjanus dentatus","Lutjanus","Lutjanidae","Lutjaniformes","Actinopteri"
"113","ncbi","Paracaesio paragrapsimodon",NA,NA,NA,NA
"114","ncbi","Anisotremus surinamensis","Anisotremus","Haemulidae","Lutjaniformes","Actinopteri"
"115","ncbi","Parakuhlia macrophthalmus",NA,NA,NA,NA
"116","ncbi","Plectorhinchus chubbi","Plectorhinchus","Haemulidae","Lutjaniformes","Actinopteri"
"117","ncbi","Plectorhinchus mediterraneus","Plectorhinchus","Haemulidae","Lutjaniformes","Actinopteri"
"118","ncbi","Salilota australis","Salilota","Moridae","Gadiformes","Actinopteri"
"119","ncbi","Patagonotothen ramsayi","Patagonotothen","Nototheniidae","Perciformes","Actinopteri"
"120","ncbi","Bathygobius geminatus","Bathygobius","Gobiidae","Gobiiformes","Actinopteri"
"121","ncbi","Chlopsis dentatus","Chlopsis","Chlopsidae","Anguilliformes","Actinopteri"
"122","ncbi","Anarchias supremus",NA,NA,NA,NA
"123","ncbi","Diaphenchelys pelonates",NA,NA,NA,NA
"124","ncbi","Enchelycore nycturanus",NA,NA,NA,NA
"125","ncbi","Gymnothorax austrinus",NA,NA,NA,NA
"126","ncbi","Gymnothorax bacalladoi","Gymnothorax","Muraenidae","Anguilliformes","Actinopteri"
"127","ncbi","Gymnothorax hansi",NA,NA,NA,NA
"128","ncbi","Gymnothorax polyspondylus",NA,NA,NA,NA
"129","ncbi","Gymnothorax prolatus","Gymnothorax","Muraenidae","Anguilliformes","Actinopteri"
"130","ncbi","Gymnothorax randalli","Gymnothorax","Muraenidae","Anguilliformes","Actinopteri"
"131","ncbi","Gymnothorax sagmacephalus","Gymnothorax","Muraenidae","Anguilliformes","Actinopteri"
"132","ncbi","Gymnothorax shaoi","Gymnothorax","Muraenidae","Anguilliformes","Actinopteri"
"133","ncbi","Gymnothorax sokotrensis",NA,NA,NA,NA
"134","ncbi","Gymnothorax vagrans",NA,NA,NA,NA
"135","ncbi","Uropterygius genie",NA,NA,NA,NA
"136","ncbi","Uropterygius golanii",NA,NA,NA,NA
"137","ncbi","Myroconger compressus","Myroconger","Myrocongridae","Anguilliformes","Actinopteri"
"138","ncbi","Derilissus nanus",NA,NA,NA,NA
"139","ncbi","Gramma dejongi","Gramma","Grammatidae",NA,"Actinopteri"
"140","ncbi","Parioglossus lineatus",NA,NA,NA,NA
"141","ncbi","Sicyopterus macrostetholepis",NA,NA,NA,NA
"142","ncbi","Taenioides cirratus","Taenioides","Gobiidae","Gobiiformes","Actinopteri"
"143","ncbi","Kuhlia munda","Kuhlia","Kuhliidae","Centrarchiformes","Actinopteri"
"144","ncbi","Rhyacichthys guilberti","Rhyacichthys","Rhyacichthyidae","Gobiiformes","Actinopteri"
"145","ncbi","Oneirodes bradburyae","Oneirodes","Oneirodidae","Lophiiformes","Actinopteri"
"146","ncbi","Parasaccogaster rhamphidognatha",NA,NA,NA,NA
"147","ncbi","Eustomias leptobolus",NA,NA,NA,NA
"148","ncbi","Sciades passany","Sciades","Ariidae","Siluriformes","Actinopteri"
"149","ncbi","Rhombosolea retiaria","Rhombosolea","Rhombosoleidae","Pleuronectiformes","Actinopteri"
"150","ncbi","Ariosoma anago","Ariosoma","Congridae","Anguilliformes","Actinopteri"
"151","ncbi","Ophichthus leonensis",NA,NA,NA,NA
"152","ncbi","Heteroconger tricia",NA,NA,NA,NA
"153","ncbi","Promyllantor atlanticus",NA,NA,NA,NA
"154","ncbi","Ichthyapus insularis",NA,NA,NA,NA
"155","ncbi","Ariosoma obud",NA,NA,NA,NA
"156","ncbi","Gorgasia sillneri",NA,NA,NA,NA
"157","ncbi","Gorgasia inferomaculata",NA,NA,NA,NA
"158","ncbi","Ariosoma bauchotae",NA,NA,NA,NA
"159","ncbi","Hemerorhinus opici",NA,NA,NA,NA
"160","ncbi","Ariosoma multivertebratum",NA,NA,NA,NA
"161","ncbi","Heteroconger tomberua",NA,NA,NA,NA
"162","ncbi","Xyrias guineensis",NA,NA,NA,NA
"163","ncbi","Ariosoma ophidiophthalmus",NA,NA,NA,NA
"164","ncbi","Ariosoma anagoides",NA,NA,NA,NA
"165","ncbi","Dalophis obtusirostris",NA,NA,NA,NA
"166","ncbi","Ariosoma nigrimanum",NA,NA,NA,NA
"167","ncbi","Heteroconger chapmani",NA,NA,NA,NA
