"","db","query","class","order","family","genus"
"1","itis","Lagocephalus gloveri","Teleostei","Tetraodontiformes","Tetraodontidae","Lagocephalus"
"2","itis","Parioglossus neocaledonicus","Teleostei","Perciformes","Microdesmidae","Parioglossus"
"3","itis","Pegasus laternarius","Teleostei","Gasterosteiformes","Pegasidae","Pegasus"
"4","itis","Salanx chinensis","Teleostei","Osmeriformes","Salangidae","Protosalanx"
"5","itis","Salanx cuvieri","Teleostei","Osmeriformes","Salangidae","Salanx"
"6","itis","Otolithoides pama","Teleostei","Perciformes","Sciaenidae","Otolithoides"
"7","itis","Macrospinosa cuja","Teleostei","Perciformes","Sciaenidae","Macrospinosa"
"8","itis","Cryptocentrus pavoninoides","Teleostei","Perciformes","Gobiidae","Cryptocentrus"
"9","itis","Psettodes erumei","Teleostei","Pleuronectiformes","Psettodidae","Psettodes"
"10","itis","Oxyurichthys tentacularis","Teleostei","Perciformes","Gobiidae","Oxyurichthys"
"11","itis","Boops lineatus","Teleostei","Perciformes","Sparidae","Boops"
"12","itis","Calamus campechanus","Teleostei","Perciformes","Sparidae","Calamus"
"13","itis","Polysteganus coeruleopunctatus","Teleostei","Perciformes","Sparidae","Polysteganus"
"14","itis","Argyrops megalommatus","Teleostei","Perciformes","Sparidae","Argyrops"
"15","itis","Cheimerius nufar","Teleostei","Perciformes","Sparidae","Cheimerius"
"16","itis","Dentex fourmanoiri","Teleostei","Perciformes","Sparidae","Dentex"
"17","itis","Acanthopagrus omanensis",NA,NA,NA,NA
"18","itis","Acanthopagrus akazakii",NA,NA,NA,NA
"19","itis","Acanthopagrus taiwanensis",NA,NA,NA,NA
"20","itis","Sparidentex belayewi",NA,NA,NA,NA
"21","itis","Lithognathus olivieri","Teleostei","Perciformes","Sparidae","Lithognathus"
"22","itis","Acanthopagrus latus","Teleostei","Perciformes","Sparidae","Acanthopagrus"
"23","itis","Spicara martinicus","Teleostei","Perciformes","Centracanthidae","Spicara"
"24","itis","Prionurus scalprum","Teleostei","Perciformes","Acanthuridae","Prionurus"
"25","itis","Naso reticulatus","Teleostei","Perciformes","Acanthuridae","Naso"
"26","itis","Prionurus chrysurus","Teleostei","Perciformes","Acanthuridae","Prionurus"
"27","itis","Zebrasoma gemmatum","Teleostei","Perciformes","Acanthuridae","Zebrasoma"
"28","itis","Acanthurus polyzona","Teleostei","Perciformes","Acanthuridae","Acanthurus"
"29","itis","Zebrasoma rostratum","Teleostei","Perciformes","Acanthuridae","Zebrasoma"
"30","itis","Naso tuberosus","Teleostei","Perciformes","Acanthuridae","Naso"
"31","itis","Myxodes ornatus","Teleostei","Perciformes","Clinidae","Myxodes"
"32","itis","Ophiclinops pardalis","Teleostei","Perciformes","Clinidae","Ophiclinops"
"33","itis","Enneapterygius sheni",NA,NA,NA,NA
"34","itis","Helcogramma solorensis","Teleostei","Perciformes","Tripterygiidae","Helcogramma"
"35","itis","Helcogramma larvata","Teleostei","Perciformes","Tripterygiidae","Helcogramma"
"36","itis","Helcogramma maldivensis","Teleostei","Perciformes","Tripterygiidae","Helcogramma"
"37","itis","Helcogrammoides antarcticus","Teleostei","Perciformes","Tripterygiidae","Helcogrammoides"
"38","itis","Neopomacentrus taeniurus","Teleostei","Perciformes","Pomacentridae","Neopomacentrus"
"39","itis","Neosalanx brevirostris","Teleostei","Osmeriformes","Salangidae","Neosalanx"
"40","itis","Cathorops fuerthii","Teleostei","Siluriformes","Ariidae","Cathorops"
"41","itis","Hyporhamphus rosae","Teleostei","Beloniformes","Hemiramphidae","Hyporhamphus"
"42","itis","Spaniblennius riodourensis","Teleostei","Perciformes","Blenniidae","Spaniblennius"
"43","itis","Parablennius verryckeni","Teleostei","Perciformes","Blenniidae","Parablennius"
"44","itis","Spaniblennius clandestinus","Teleostei","Perciformes","Blenniidae","Spaniblennius"
"45","itis","Bathyblennius antholops","Teleostei","Perciformes","Blenniidae","Bathyblennius"
"46","itis","Malacoctenus africanus","Teleostei","Perciformes","Labrisomidae","Malacoctenus"
"47","itis","Microlipophrys bauchotae",NA,NA,NA,NA
"48","itis","Astrapogon stellatus","Teleostei","Perciformes","Apogonidae","Astrapogon"
"49","itis","Derilissus vittiger","Teleostei","Perciformes","Gobiesocidae","Derilissus"
"50","itis","Derilissus kremnobates","Teleostei","Perciformes","Gobiesocidae","Derilissus"
"51","itis","Robinsichthys arrowsmithensis","Teleostei","Perciformes","Gobiidae","Robinsichthys"
"52","itis","Varicus marilynae","Teleostei","Perciformes","Gobiidae","Varicus"
"53","itis","Vomerogobius flavus","Teleostei","Perciformes","Gobiidae","Vomerogobius"
"54","itis","Evermannichthys bicolor","Teleostei","Perciformes","Gobiidae","Evermannichthys"
"55","itis","Evermannichthys silus","Teleostei","Perciformes","Gobiidae","Evermannichthys"
"56","itis","Evermannichthys convictor","Teleostei","Perciformes","Gobiidae","Evermannichthys"
"57","itis","Chriolepis benthonis","Teleostei","Perciformes","Gobiidae","Chriolepis"
"58","itis","Coryphopterus kuna",NA,NA,NA,NA
"59","itis","Gobioides grahamae","Teleostei","Perciformes","Gobiidae","Gobioides"
"60","itis","Lipogramma flavescens","Teleostei","Perciformes","Grammatidae","Lipogramma"
"61","itis","Tomicodon clarkei","Teleostei","Perciformes","Gobiesocidae","Tomicodon"
"62","itis","Tomicodon lavettsmithi","Teleostei","Perciformes","Gobiesocidae","Tomicodon"
"63","itis","Abudefduf margariteus","Teleostei","Perciformes","Pomacentridae","Abudefduf"
"64","itis","Stegastes otophorus","Teleostei","Perciformes","Pomacentridae","Stegastes"
"65","itis","Clinus ornatus",NA,NA,NA,NA
"66","itis","Lutjanus buccanella","Teleostei","Perciformes","Lutjanidae","Lutjanus"
"67","itis","Haemulon album","Teleostei","Perciformes","Haemulidae","Haemulon"
"68","itis","Callechelys springeri","Teleostei","Anguilliformes","Ophichthidae","Callechelys"
"69","itis","Lutjanus jocu","Teleostei","Perciformes","Lutjanidae","Lutjanus"
