"genus_species","iucn_authority","iucn_category","mature_age","longevity","lat_range","long_range","diet","trophic_level","mass_g","depth_zone","length_m","depth_num"
"Lagocephalus gloveri","Abe &amp; Tabeta, 1983","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.35,NA
"Parioglossus neocaledonicus","Dingerkus &amp; Séret, 1992","dd",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",NA,2.5
"Pegasus laternarius","Cuvier, 1816","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.08,65
"Salanx chinensis","(Osbeck 1765)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1610000038,NA
"Salanx cuvieri","Valenciennes, 1850","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1530000019,NA
"Otolithoides pama","(Hamilton, 1822)","dd",4.9,24.1,18.783,56,NA,NA,NA,"benthopelagic",1.6,NA
"Macrospinosa cuja","(Hamilton, 1822)","dd",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",1.52,NA
"Cryptocentrus pavoninoides","(Bleeker, 1849)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.15,8
"Psettodes erumei","(Bloch &amp; Schneider, 1801)","dd",1.3,5.1,51.4967,119,NA,4.4,9000,"demersal",0.64,NA
"Oxyurichthys tentacularis","(Valenciennes 1837)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.17,NA
"Boops lineatus","(Boulenger, 1892)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.25,NA
"Calamus campechanus","Randall &amp; Caldwell, 1966","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.21,14.5
"Polysteganus coeruleopunctatus","(Klunzinger, 1870)","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.6,NA
"Argyrops megalommatus","(Klunzinger, 1870)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Cheimerius nufar","(Valenciennes, 1830)","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.75,160
"Dentex fourmanoiri","Akazaki &amp; Séret, 1999","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.215,250
